scenario,kind,iteration,labelIndex,groupId,anchorX,anchorY,offsetX,offsetY,width,height,left,bottom,right,top,handle
cluster,start,0,0,-1,0,0,0,0,9.9000000000000004,6.8999999999999995,-4.9500000000000002,-3.4499999999999997,4.9500000000000002,3.4499999999999997,"STA1\n100.00"
cluster,start,0,1,-1,0,0,0,0,9.9000000000000004,6.8999999999999995,-4.9500000000000002,-3.4499999999999997,4.9500000000000002,3.4499999999999997,"STA2\n100.01"
cluster,start,0,2,-1,0,0,0,0,9.9000000000000004,6.8999999999999995,-4.9500000000000002,-3.4499999999999997,4.9500000000000002,3.4499999999999997,"STA3\n100.02"
cluster,start,0,3,-1,0,0,0,0,9.9000000000000004,6.8999999999999995,-4.9500000000000002,-3.4499999999999997,4.9500000000000002,3.4499999999999997,"STA4\n100.03"
cluster,start,0,4,-1,0,0,0,0,9.9000000000000004,6.8999999999999995,-4.9500000000000002,-3.4499999999999997,4.9500000000000002,3.4499999999999997,"STA5\n100.04"
cluster,start,0,5,-1,0,0,0,0,9.9000000000000004,6.8999999999999995,-4.9500000000000002,-3.4499999999999997,4.9500000000000002,3.4499999999999997,"STA6\n100.05"
cluster,start,0,6,-1,0,0,0,0,9.9000000000000004,6.8999999999999995,-4.9500000000000002,-3.4499999999999997,4.9500000000000002,3.4499999999999997,"STA7\n100.06"
cluster,start,0,7,-1,0,0,0,0,9.9000000000000004,6.8999999999999995,-4.9500000000000002,-3.4499999999999997,4.9500000000000002,3.4499999999999997,"STA8\n100.07"
cluster,start,0,8,-1,0,0,0,0,9.9000000000000004,6.8999999999999995,-4.9500000000000002,-3.4499999999999997,4.9500000000000002,3.4499999999999997,"STA9\n100.08"
cluster,start,0,9,-1,0,0,0,0,9.9000000000000004,6.8999999999999995,-4.9500000000000002,-3.4499999999999997,4.9500000000000002,3.4499999999999997,"STA10\n100.09"
cluster,iter,1000,0,0,0,0,-98.127262661640714,13.799999999999999,9.9000000000000004,6.8999999999999995,-103.07726266164072,10.35,-93.177262661640711,17.25,"STA1\n100.00"
cluster,iter,1000,1,0,0,0,-92.371521913923559,13.799999999999999,9.9000000000000004,6.8999999999999995,-97.321521913923561,10.35,-87.421521913923556,17.25,"STA2\n100.01"
cluster,iter,1000,2,0,0,0,40.569131517934558,-13.799999999999999,9.9000000000000004,6.8999999999999995,35.619131517934555,-17.25,45.519131517934561,-10.35,"STA3\n100.02"
cluster,iter,1000,3,0,0,0,-102.56956399213456,-13.799999999999999,9.9000000000000004,6.8999999999999995,-107.51956399213456,-17.25,-97.619563992134559,-10.35,"STA4\n100.03"
cluster,iter,1000,4,0,0,0,-153.29061551992507,3.2725512274100268,9.9000000000000004,6.8999999999999995,-158.24061551992506,-0.17744877258997294,-148.34061551992508,6.7225512274100261,"STA5\n100.04"
